UniProt_ID,BindingDB_ID,chEMBL_ID,Molecule_name,IN_KI
P00519,BDBM25045,CHEMBL573339,PI103,IK28257
P00519,BDBM31088,CHEMBL558752,RAF265,IK28258
P00519,BDBM16673,CHEMBL1336,SORAFENIB,IK28259
P00519,BDBM50026612,CHEMBL502835,NINTEDANIB,IK28260
P00519,BDBM31085,CHEMBL574738,AST487,IK28261
P00519,BDBM24773,CHEMBL572881,MOTESANIB,IK28262
P00519,BDBM50242737,CHEMBL450786,PHA665752,IK28263
P00519,BDBM50355497,CHEMBL1614701,SELUMETINIB,IK28264
P00519,BDBM50193995,CHEMBL221959,TOFACITINIB,IK28265
P00519,BDBM13534,CHEMBL572878,TOZASERTIB,IK28266
P00519,BDBM4552,CHEMBL288441,BOSUTINIB,IK28267
P00519,BDBM25919,CHEMBL249697,BMS345541,IK28268
P00519,BDBM50193995,CHEMBL221959,TOFACITINIB,IK28269
P00519,BDBM25617,CHEMBL1230020,PLX4720,IK28270
P00519,BDBM50237710,CHEMBL255863,NILOTINIB,IK28271
P00519,BDBM15138,CHEMBL379218,A674563,IK28272
P00519,BDBM12621,CHEMBL384304,RG547,IK28273
P00519,BDBM13216,CHEMBL1421,DASATINIB,IK28274
P00519,BDBM50237710,CHEMBL255863,NILOTINIB,IK28275
P00519,BDBM5655,CHEMBL428690,ALVOCIDIB,IK28276
P00519,BDBM50355496,CHEMBL1908397,KW2449,IK28277
P00519,BDBM50355494,CHEMBL1908396,Ki20227,IK28278
P00519,BDBM50355499,CHEMBL1908842,JNJ28312141,IK28279
P00519,BDBM50355500,CHEMBL1908394,GSK461364,IK28280
P00519,BDBM50355495,CHEMBL1908391,MASITINIB,IK28281
P00519,BDBM60589,CHEMBL1236107,SGX523,IK28282
P00519,BDBM50026612,CHEMBL502835,NINTEDANIB,IK28283
P00519,BDBM5931,CHEMBL296468,BMS387032,IK28284
P00519,BDBM13534,CHEMBL572878,TOZASERTIB,IK28285
P00519,BDBM31095,CHEMBL1721885,SU014813,IK28286
P00519,BDBM50355500,CHEMBL1908394,GSK461364,IK28287
P00519,BDBM50355495,CHEMBL1908391,MASITINIB,IK28288
P00519,BDBM50355496,CHEMBL1908397,KW2449,IK28289
P00519,BDBM50355499,CHEMBL1908842,JNJ28312141,IK28290
P00519,BDBM50355494,CHEMBL1908396,Ki20227,IK28291
P00519,BDBM17055,CHEMBL91829,RUBOXISTAURIN,IK28292
P00519,BDBM50331096,CHEMBL491473,CEDIRANIB,IK28293
P00519,BDBM5447,CHEMBL939,GEFITINIB,IK28294
P00519,BDBM4851,CHEMBL101253,VATALANIB,IK28295
P00519,BDBM50355497,CHEMBL1614701,SELUMETINIB,IK28296
P00519,BDBM5931,CHEMBL296468,BMS387032,IK28297
